APK Path,Model,Result
com.sec.android.app.voicenote,exodus_sae,True
com.sec.android.app.voicenote,exodus_vae,True
com.sec.android.app.voicenote,abig_vae,True
com.sec.android.app.voicenote,apd_sae,False
com.sonymobile.backgrounddefocus,exodus_ae,False
com.google.android.marvin.talkback,apd_vae,False
com.sonymobile.backgrounddefocus,exodus_sae,False
com.sonymobile.backgrounddefocus,apd_ae,False
com.sec.android.app.voicenote,abig_ae,True
com.sonymobile.backgrounddefocus,abig_sae,True
com.sonymobile.backgrounddefocus,apd_sae,False
com.sonymobile.backgrounddefocus,exodus_vae,False
com.sonymobile.backgrounddefocus,abig_vae,True
com.google.android.apps.docs.editors.sheets,apd_vae,False
com.google.android.marvin.talkback,exodus_ae,False
com.google.android.marvin.talkback,exodus_sae,False
com.google.android.marvin.talkback,abig_sae,True
com.google.android.marvin.talkback,apd_ae,False
com.sonymobile.backgrounddefocus,abig_ae,True
com.google.android.marvin.talkback,apd_sae,False
com.google.android.marvin.talkback,exodus_vae,False
com.google.android.marvin.talkback,abig_vae,True
com.google.android.youtube,apd_vae,True
com.google.android.apps.docs.editors.sheets,exodus_sae,True
com.google.android.apps.docs.editors.sheets,abig_sae,True
com.google.android.apps.docs.editors.sheets,exodus_ae,True
com.google.android.marvin.talkback,abig_ae,True
com.google.android.apps.docs.editors.sheets,apd_ae,False
com.google.android.apps.docs.editors.sheets,apd_sae,False
com.google.android.apps.docs.editors.sheets,abig_vae,True
com.google.android.apps.docs.editors.sheets,exodus_vae,True
com.sec.android.app.myfiles,apd_vae,False
com.google.android.youtube,abig_sae,True
com.google.android.youtube,exodus_sae,True
com.google.android.youtube,exodus_ae,True
com.google.android.youtube,apd_ae,True
com.google.android.apps.docs.editors.sheets,abig_ae,True
com.google.android.youtube,apd_sae,False
com.google.android.youtube,exodus_vae,True
com.google.android.youtube,abig_vae,True
com.sec.android.app.myfiles,abig_sae,True
com.touchtype.swiftkey,apd_vae,False
com.sec.android.app.myfiles,exodus_ae,True
com.sec.android.app.myfiles,exodus_sae,True
com.google.android.youtube,abig_ae,True
com.sec.android.app.myfiles,apd_ae,False
com.sec.android.app.myfiles,apd_sae,False
com.sec.android.app.myfiles,abig_vae,True
com.google.android.apps.walletnfcrel,apd_vae,False
com.sec.android.app.myfiles,exodus_vae,True
com.touchtype.swiftkey,abig_sae,True
com.touchtype.swiftkey,exodus_sae,False
com.touchtype.swiftkey,apd_ae,False
com.touchtype.swiftkey,exodus_ae,False
com.touchtype.swiftkey,apd_sae,False
com.xiaomi.calendar,apd_vae,False
com.sec.android.app.myfiles,abig_ae,True
com.touchtype.swiftkey,abig_vae,True
com.touchtype.swiftkey,exodus_vae,False
com.google.android.apps.walletnfcrel,apd_sae,False
com.google.android.apps.walletnfcrel,exodus_ae,True
com.google.android.apps.walletnfcrel,abig_sae,True
com.google.android.apps.walletnfcrel,exodus_sae,True
